StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Verify,QID1_1,QID1_2,QID1_3,QID1_4,QID1_5,Programming Skills_1,Programming Skills_2,Programming Skills_3,Python_1,Python_2,Python_3,Values_1,Values_2,Values_3,SJ & Community_1,Q28,SJ & Community,Community_1,Community_2,Community_3,TA_1,TA_2,TA_3,TA_4,Goals,Career Opportunities_1,Career Opportunities_2,Career Opportunities_3,Q30,Gee_1,Gee_2,Gee_3,McAlpine_1,McAlpine_2,McAlpine_3,McAlpine_4,McAlpine_5,Crenshaw,Crenshaw,Crenshaw,Any last thoughts?_1,Any last thoughts?_2,Why recommend,Open,SC0,Goals - Parent Topics,Goals - Topics,Verify - Parent Topics,Verify - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What's your Hack the Hood student ID number? Check your email or ask your TA or Programs (Hoss or Samia),"Communication about technology/Programming

Read each statement and select your level of agreement with each statement. - I can communicate verbally or in writing to others about technology or programming.","Communication about technology/Programming

Read each statement and select your level of agreement with each statement. - I can give a short talk to an audience about technology or programming.","Communication about technology/Programming

Read each statement and select your level of agreement with each statement. - I can writ code to complete a simple task.","Communication about technology/Programming

Read each statement and select your level of agreement with each statement. - I increased my programming skills in this program.","Communication about technology/Programming

Read each statement and select your level of agreement with each statement. - I could explain or storyboard a software idea that I have.","Programming Skills 

Read each statement and select how frequent each statement applies to you. - When I have errors in my code, I know of a few things to try or look for.","Programming Skills 

Read each statement and select how frequent each statement applies to you. - When I write new code, I leave myself enough comments and notes to know what I did.","Programming Skills 

Read each statement and select how frequent each statement applies to you. - I know where to look for new data to test or model with.","Python Skills 

How confident are you in executing these tasks in Python? Please rate your confidence in your ability to execute the following tasks in Python on a scale of 1 to 4, where 1 means “Not confident at all” and 4 means “Very Confident.” - I know how to index values from a list in Python.","Python Skills 

How confident are you in executing these tasks in Python? Please rate your confidence in your ability to execute the following tasks in Python on a scale of 1 to 4, where 1 means “Not confident at all” and 4 means “Very Confident.” - I know how to create a dictionary from scratch in Python.","Python Skills 

How confident are you in executing these tasks in Python? Please rate your confidence in your ability to execute the following tasks in Python on a scale of 1 to 4, where 1 means “Not confident at all” and 4 means “Very Confident.” - I know how to run loops through lists and dictionaries.","Values

Read each statement and select your level of agreement with each statement. - Data providers can exercise their power.","Values

Read each statement and select your level of agreement with each statement. - When communities define what they want from technology, it can be used for good.","Values

Read each statement and select your level of agreement with each statement. - Good technical solutions work well and meet the needs of diverse groups of people.","Social Justice & Community

Select your level of agreement with this statement. - I believe that technology can help my community.",Name one way that you think technology can help your community.,What is one project or sociotechnical discussion that you would like to work on in the future?,"Community

Read each statement and select your level of agreement with each statement. - I felt comfortable participating in class discussions during lecture, pair programming, and office hours.","Community

Read each statement and select your level of agreement with each statement. - My TA provided helpful feedback on my code in pair programming or office hours.","Community

Read each statement and select your level of agreement with each statement. - My TA encouraged me to keep trying my best in coding or applying myself as a learner in general.","Community

Read each statement and select your level of agreement with each statement. - I built relationships with other participants in my program.","Community

Read each statement and select your level of agreement with each statement. - I feel the Hack the Hood staff members support my success.","Community

Read each statement and select your level of agreement with each statement. - The volunteers and panelists provided good advice and information during the program.","Community

Read each statement and select your level of agreement with each statement. - I had a chance to meet a mentor or role model in technology (staff, guest panelists, or alumni) during this program.",Fill in the blank: The goal(s) I set for myself during this program was _______.,"Career Opportunities/Navigation/Goals

Read each statement and select your level of agreement with each statement. - I know about different positions and career options in technology.","Career Opportunities/Navigation/Goals

Read each statement and select your level of agreement with each statement. - I know what steps I need to take in order to pursue a career in technology.","Career Opportunities/Navigation/Goals

Read each statement and select your level of agreement with each statement. - I was able to achieve one of my goals in this program.",Which of these do you plan on pursuing or signing up for in the near future? Check all that apply.,"Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - I am the type of persn who will be successful in tech.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - Hack the Hood helped me see myself as a technical person.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - My classmates are people I want to work with in the future.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - I was able to contribute and help in my class experience.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - I figured out how to get help or fix my coding challenges.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - I found or continued a new hobby through this program.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - I received resources to help me in my future.","Intersectional Tech Identity

Read each statement and select your level of agreement with each statement. - Hack the Hood provided enough resources to help me be successful in this program.","Please complete the following statement by writing into the text box below each question: In terms of race, ethnicity, gender, class, socioecnomic status, and privileges I would describe myself as ______________","Please complete the following statement by writing into the text box below each question: When I think about my identity, I would say I am...","Please complete the following statement by writing into the text box below each question: When I think about being a technologist, these are parts of my identity I think someone interviewing me for a job, internship, or bootcamp should know about me as a person:","Please answer these according to how much you agree with these statements: - I would recommend Hustle to an eligible friend, relative, or acquaintance.","Please answer these according to how much you agree with these statements: - I would recommend any Hack the Hood program to a friend, relative, or acquaintance.","Based on your answers above, why (or why not) are you likely to recommend Hustle or any Hack the Hood program to others?","If you have any extended reflections, opinions, or concerns related to the program that you would like to share with us, please share it here:",Score,Goals - Parent Topics,Goals - Topics,Verify - Parent Topics,Verify - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID30""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""SC_42bcAOpD3j0bDgy""}","{""ImportId"":""QID10_TEXT_ea3afb01_3vmmspcpaqfxParTopics""}","{""ImportId"":""QID10_TEXT_ea3afb01_3vmmspcpaqfxTopics""}","{""ImportId"":""QID21_TEXT_ea3afb01_5mf0ha8t0ttdParTopics""}","{""ImportId"":""QID21_TEXT_ea3afb01_5mf0ha8t0ttdTopics""}"
2022-08-08 11:37:23,2022-08-08 11:37:31,Survey Preview,,100,7,True,2022-08-08 11:37:32,R_2EiuLZOFe5dsAMu,,,,,33.8583,-84.2165,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 12:52:16,2022-08-08 13:15:01,IP Address,172.58.37.226,100,1364,True,2022-08-08 13:15:01,R_2rDvTRSDbmWYGBY,,,,,38.687,-121.3477,anonymous,EN,HH83,Unsure or undecided,Somewhat disagree,Unsure or undecided,Unsure or undecided,Somewhat disagree,Sometimes,Sometimes,Sometimes,Fairly confident,Fairly confident,Slightly confident,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Providing proper Healthcare to isolated communities.,"Providing preventive care for diseases in communities that are more at risk due to their environment or ethic background. ",Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,To get a general understanding of one form of coding.,Strongly agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp",Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,"An African American, Cis- woman, middle class. With middle class privileges.","A quiet motivator and encourager. I think I'm a hard worker and contribute alot when I know, and good listener when I don't know. ","I think they should know that I'm a positive person, with an open mind when it comes to learning. I welcome all ideas and different avenues of doing things.  ",Somewhat agree,Unsure or uncertain,I think the concept of hack the hood is there but certain things like tye communication is something that needs to be worked on as well as the program objectives need to be met before any other activities be introduced.,,108,,Unknown,,
2022-08-08 12:49:24,2022-08-08 13:15:37,IP Address,99.48.41.9,100,1573,True,2022-08-08 13:15:38,R_6P4OIq78JfqqrER,,,,,37.7652,-122.1579,anonymous,EN,HH21,Somewhat agree,Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Sometimes,Rarely,Sometimes,Fairly confident,Very confident,Fairly confident,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Many business around Oakland can benefit from the use of digital marketing since it will help them attract more customers.,"low cost non medical diagnoses ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,improve my Python coding skills.,Strongly agree,Somewhat agree,Strongly agree,"Career in technology (or in the tech industry in general),Tech bootcamp,Bachelor's degree",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Somewhat agree,Somewhat agree,"a low income Asian male ",Asian American,hard working person that is willing to learn and adapt to different environments/situations,Somewhat agree,Somewhat agree,Hack the Hood programs are able to shed light towards different industries and careers that someone might not realize that they could pursue. The programs also help develop technical skills that are required in the real world.,,107,,Unknown,,
2022-08-08 13:24:26,2022-08-08 13:31:03,IP Address,73.231.178.30,100,397,True,2022-08-08 13:31:04,R_32JkRlSInX3bwAd,,,,,37.4043,-122.0748,anonymous,EN,HH53,Somewhat agree,Unsure or undecided,Unsure or undecided,Somewhat agree,Unsure or undecided,Very often,Rarely,Rarely,Slightly confident,Slightly confident,Slightly confident,Unsure or undecided,Somewhat agree,Somewhat agree,Somewhat agree,One way are the crosswalks that are already installed,"Problems in the real world ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,learn as much as possible,Somewhat agree,Somewhat agree,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Bachelor's degree",Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Equivalent to others,timid,persistent person,Somewhat agree,Somewhat agree,It was good to learn about all the perspectives of tech,,111,,Unknown,,
2022-08-08 13:25:03,2022-08-08 13:38:14,IP Address,73.158.96.254,100,791,True,2022-08-08 13:38:15,R_DSM5XLKz3sHmiyZ,,,,,37.722,-122.1643,anonymous,EN,HH81,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Always,Very often,Fairly confident,Fairly confident,Fairly confident,Unsure or undecided,Somewhat agree,Strongly agree,Somewhat agree,It helps with increasing job opportunities.,More website building from different programs.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Learn a new coding skill and be able to improve upon it over the course of the program.,Strongly agree,Somewhat agree,Somewhat agree,Career in technology (or in the tech industry in general),Somewhat agree,Unsure or undecided,Unsure or undecided,Somewhat agree,Somewhat agree,Unsure or undecided,Unsure or undecided,Unsure or undecided,Average.,"Asian, specifically Chinese.","I have quick adaptability and work better as an advisor to a team rather than a leader. ",Somewhat agree,Somewhat agree,"I would recommend it because we do learn some coding skills along with information about the tech field. ",,109,,Unknown,,
2022-08-08 13:24:30,2022-08-08 13:39:17,IP Address,73.252.142.94,100,887,True,2022-08-08 13:39:18,R_3popxOmcxpiluOo,,,,,37.5428,-122.2971,anonymous,EN,HH69,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Very often,Sometimes,Always,Very confident,Very confident,Very confident,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,"Technology can be a way to keep track of community trends or needs. By recording data about health issues or social issues in an area can help identify patterns that are helping or hurting my community. ",I would like to work on a project that keeps track of how communities are impacted by social issues that impact their technological access/resources.,Somewhat agree,Somewhat agree,Strongly agree,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,"The goal I set for myself during this program was to learn how to code with python and be able to read it.
",Strongly agree,Strongly agree,Strongly agree,Bachelor's degree,Unsure or undecided,Somewhat agree,Unsure or undecided,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"I would describe myself as a low-income, first generation, Latina.","I would say I am a resilient, strong, intellectual, caring, passionate woman. ","I am a great team player, I enjoy working with others and independently. I am always looking forward to learning and trying new things and enjoy learning from others as well. ",Strongly agree,Strongly agree,"I truly enjoyed the program and the instructors were very friendly. I enjoyed the sociotech lectures we had and the assignments that we had to complete on replit. I feel like it was well rounded especially when we got to listen to the panelist who are actually in the tech field and shared their stories. ",,121,,Unknown,,
2022-08-08 13:26:41,2022-08-08 13:39:58,IP Address,107.3.139.102,100,797,True,2022-08-08 13:39:59,R_2CN7sDPRcUfurAs,,,,,37.7688,-122.262,anonymous,EN,HH27,Somewhat agree,Somewhat agree,Strongly agree,Unsure or undecided,Unsure or undecided,Very often,Very often,Very often,Fairly confident,Very confident,Fairly confident,Unsure or undecided,Strongly agree,Strongly agree,Strongly agree,Technology can help the younger generations be introduced to more important topics that can help them create social change in the future.,Creating technology that can better our society,Strongly disagree,Strongly disagree,Strongly disagree,Unsure or undecided,Strongly agree,Somewhat agree,Somewhat disagree,somewhat complete,Somewhat agree,Somewhat agree,Unsure or undecided,Technology- or software-related certification,Unsure or undecided,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Unsure or undecided,Somewhat agree,Somewhat agree,middle class african american male,Eritrean,"where my ancestors are from, where I was born, my socioeconomic status, and how I became the person I am today",Unsure or uncertain,Unsure or uncertain,We didn't do as much coding as I hoped.,,105,,Unknown,,
2022-08-08 13:26:54,2022-08-08 13:40:11,IP Address,96.76.203.185,100,797,True,2022-08-08 13:40:12,R_30uvprPAm0WvTxV,,,,,37.7428,-122.1745,anonymous,EN,HH02,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Unsure or undecided,Very often,Very often,Rarely,Very confident,Very confident,Very confident,Somewhat agree,Strongly agree,Unsure or undecided,Strongly agree,by providing accommodations,biometrics,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,learning python programming skills.,Unsure or undecided,Unsure or undecided,Somewhat agree,"Career in technology (or in the tech industry in general),Technology- or software-related certification,Tech bootcamp,Associate's degree,Bachelor's degree",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,a queer bipoc woman.,affected heavily by my intersectional traits.,"I have a background in sociology, ethnic studies, and human sexuality.",Strongly agree,Strongly agree,It's free and it was very educational.,n/a,110,,Unknown,,
